
Training Data Shape: torch.Size([100, 1]), torch.Size([100, 1])

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (16, 16) ---

Iteration 54: New best loss = 0.07436151802539825
Iteration 55: New best loss = 0.07286831736564636
Iteration 56: New best loss = 0.0723043754696846
Iteration 57: New best loss = 0.07177624106407166
Iteration 58: New best loss = 0.07095236331224442
Iteration 59: New best loss = 0.07039852440357208
Iteration 60: New best loss = 0.06894896924495697
Iteration 61: New best loss = 0.06783434748649597
Iteration 62: New best loss = 0.0673515573143959
Iteration 63: New best loss = 0.06680803000926971
Iteration 64: New best loss = 0.06640146672725677
Iteration 65: New best loss = 0.06587696820497513
Iteration 66: New best loss = 0.06434519588947296
Iteration 67: New best loss = 0.06401415914297104
Iteration 68: New best loss = 0.0636199563741684
Iteration 69: New best loss = 0.06313791126012802
Iteration 70: New best loss = 0.06267353892326355
Iteration 71: New best loss = 0.062143824994564056
Iteration 72: New best loss = 0.061629027128219604
Iteration 73: New best loss = 0.061206407845020294
Iteration 74: New best loss = 0.06058003008365631
Iteration 75: New best loss = 0.05938078835606575
Iteration 76: New best loss = 0.05897163227200508
Iteration 77: New best loss = 0.058522116392850876
Iteration 78: New best loss = 0.05818571895360947
Iteration 79: New best loss = 0.05782554671168327
Iteration 80: New best loss = 0.057504165917634964
Iteration 81: New best loss = 0.05695293843746185
Iteration 82: New best loss = 0.05640595778822899
Iteration 83: New best loss = 0.05612657591700554
Iteration 84: New best loss = 0.055663302540779114
Iteration 85: New best loss = 0.05510110780596733
Iteration 86: New best loss = 0.05485684424638748
Iteration 87: New best loss = 0.054638396948575974
Iteration 88: New best loss = 0.0543133020401001
Iteration 89: New best loss = 0.05407709628343582
Iteration 90: New best loss = 0.053748033940792084
Iteration 91: New best loss = 0.05344313010573387
Iteration 92: New best loss = 0.05316994711756706
Iteration 93: New best loss = 0.052943021059036255
Iteration 94: New best loss = 0.05256085470318794
Iteration 95: New best loss = 0.05238741263747215
Iteration 96: New best loss = 0.05193733051419258
